festival_date,festival_name,region_scope
2018-04-14,Baisakhi / Vishu,National
2018-04-14,Tamil New Year,Tamil Nadu
2018-04-15,Bengali New Year,West Bengal
2018-05-16,Buddha Purnima,National
2018-06-16,Eid al-Fitr,National
2018-08-15,Independence Day,National
2018-08-26,Janmashtami,National
2018-09-02,Onam,Kerala
2018-09-13,Ganesh Chaturthi,National
2018-10-02,Gandhi Jayanti,National
2018-10-18,Dussehra,National
2018-11-07,Diwali,National
2018-11-08,Govardhan Puja,National
2018-12-25,Christmas,National
2019-01-14,Makar Sankranti / Pongal,National
2019-01-26,Republic Day,National
2019-03-04,Maha Shivaratri,National
2019-03-21,Holi,National
